feature,importance,ranker,selection_split,selection_scope,n_selection_scopes,n_train_rows,n_train_positive,n_train_negative,rank,fold,feature_strategy,selected_feature_k,selected
strong__mfcc_21_q25,0.052457549197390964,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,85,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_4_percentile99_0,0.0523236425887658,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,86,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_03_std,0.05179117791490813,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,87,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_audSpec_Rfilt_sma_15_leftctime,0.051585143755913936,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,88,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_zcr_sma_de_stddevFallingSlope,0.05143826408898014,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,89,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralRollOff25_0_sma_iqr1_3,0.05062802708830653,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,90,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_mfcc_sma_3_range,0.050365155916684015,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,91,1,compare_is10_top800_lightgbm,800.0,True
strong__spectral_contrast_02_mean,0.05018575220192622,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,92,1,compare_is10_top800_lightgbm,800.0,True
compare2016__opensmile_compare2016_pcm_fftMag_spectralEntropy_sma_de_meanPeakDist,0.0499738994010937,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,93,1,compare_is10_top800_lightgbm,800.0,True
strong__delta_mfcc_40_skew,0.04997181608286034,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,94,1,compare_is10_top800_lightgbm,800.0,True
strong__mel_band_63_skew,0.04985316302129376,lightgbm,train,global,1.0,7187.0,2286.0,4901.0,95,1,compare_is10_top800_lightgbm,800.0,True
